Date;Start;End;Biomass [MWh] Original resolutions;Hydropower [MWh] Original resolutions;Wind offshore [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other renewable [MWh] Original resolutions;Nuclear [MWh] Original resolutions;Lignite [MWh] Original resolutions;Hard coal [MWh] Original resolutions;Fossil gas [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions;Other conventional [MWh] Original resolutions
Jan 1 2021;12:00 AM;12:15 AM;1152.25;308.25;85;1050.25;0;56.75;2034.25;2898.5;937.25;1401.5;72.75;410.75
Jan 1 2021;12:15 AM;12:30 AM;1149;300.5;88;1019.25;0;56.75;2036.25;2904.5;872;1416.25;95;411.25
Jan 1 2021;12:30 AM;12:45 AM;1148.25;298.5;101.25;946.75;0;56.75;2036.75;2904.25;829.25;1419.25;82;409.25
Jan 1 2021;12:45 AM;1:00 AM;1147.75;297.75;108.75;918.25;0;56.75;2037.5;2901.25;805.25;1412.25;97.5;407
Jan 1 2021;1:00 AM;1:15 AM;1145.75;310.25;105.75;923.25;0;56.75;2037.5;2911;785;1362.75;155.75;409.5
Jan 1 2021;1:15 AM;1:30 AM;1145;297;103;901.75;0;56.75;2036.5;2898.25;758.75;1348.25;130.75;406.5
Jan 1 2021;1:30 AM;1:45 AM;1145.5;294.5;95.25;871.25;0;56.75;2038.25;2898;744.25;1347.5;123.25;409.25
Jan 1 2021;1:45 AM;2:00 AM;1148;294.5;90.5;845.25;0;56.75;2038;2895.5;756.75;1350.5;108.75;411
Jan 1 2021;2:00 AM;2:15 AM;1146;293.5;80;830.75;0;56.75;2039;2908.25;776.25;1335.75;140.25;410.5
Jan 1 2021;2:15 AM;2:30 AM;1145.5;289.75;76;817.5;0;56.75;2040.25;2910;769.75;1328.5;73.75;409
Jan 1 2021;2:30 AM;2:45 AM;1146.25;291.5;73;799;0;56.75;2039.5;2963.25;767.5;1330.25;4.5;407.25
Jan 1 2021;2:45 AM;3:00 AM;1143.5;289.25;76.25;769.75;0;56.75;2037.75;2977;753.75;1317.5;0.5;403.75
Jan 1 2021;3:00 AM;3:15 AM;1143.25;305.5;76.75;746;0;56.75;2036.25;3022.5;731.5;1292.25;0.5;407.25
Jan 1 2021;3:15 AM;3:30 AM;1141.25;292;77.5;710;0;56.75;2039.5;3054.5;717.25;1293;0.5;403.75
