time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 19:00,0,0,0,24.990
2019-01-01 01:00,2018-12-31 20:00,0,0,0,24.397
2019-01-01 02:00,2018-12-31 21:00,0,0,0,23.997
2019-01-01 03:00,2018-12-31 22:00,0,0,0,23.676
2019-01-01 04:00,2018-12-31 23:00,0,0,0,23.442
2019-01-01 05:00,2019-01-01 00:00,0,0,0,23.256
2019-01-01 06:00,2019-01-01 01:00,0,0,0,23.117
2019-01-01 07:00,2019-01-01 02:00,0,0,0,23.093
2019-01-01 08:00,2019-01-01 03:00,0,0,0,23.163
2019-01-01 09:00,2019-01-01 04:00,0,0,0,23.237
2019-01-01 10:00,2019-01-01 05:00,0,0,0,23.308
2019-01-01 11:00,2019-01-01 06:00,0.036,0.028,0.028,23.520
2019-01-01 12:00,2019-01-01 07:00,0.222,0.163,0.107,24.480
2019-01-01 13:00,2019-01-01 08:00,0.456,0.435,0.127,25.812
2019-01-01 14:00,2019-01-01 09:00,0.615,0.659,0.129,27.110
2019-01-01 15:00,2019-01-01 10:00,0.709,0.809,0.131,28.194
2019-01-01 16:00,2019-01-01 11:00,0.749,0.880,0.131,28.980
2019-01-01 17:00,2019-01-01 12:00,0.758,0.907,0.122,29.481
2019-01-01 18:00,2019-01-01 13:00,0.714,0.845,0.112,29.721
2019-01-01 19:00,2019-01-01 14:00,0.616,0.698,0.103,29.598
2019-01-01 20:00,2019-01-01 15:00,0.465,0.493,0.090,29.102
2019-01-01 21:00,2019-01-01 16:00,0.247,0.235,0.070,28.173
2019-01-01 22:00,2019-01-01 17:00,0.015,0.018,0.012,26.728
2019-01-01 23:00,2019-01-01 18:00,0,0,0,25.568
2019-01-02 00:00,2019-01-01 19:00,0,0,0,24.809
2019-01-02 01:00,2019-01-01 20:00,0,0,0,24.257
2019-01-02 02:00,2019-01-01 21:00,0,0,0,23.881
2019-01-02 03:00,2019-01-01 22:00,0,0,0,23.647
2019-01-02 04:00,2019-01-01 23:00,0,0,0,23.479
2019-01-02 05:00,2019-01-02 00:00,0,0,0,23.317
2019-01-02 06:00,2019-01-02 01:00,0,0,0,23.146
2019-01-02 07:00,2019-01-02 02:00,0,0,0,22.992
2019-01-02 08:00,2019-01-02 03:00,0,0,0,22.867
2019-01-02 09:00,2019-01-02 04:00,0,0,0,22.757
