time,local_time,electricity
01.01.2019 00:00,31.12.2018 19:00,0
01.01.2019 01:00,31.12.2018 20:00,0
01.01.2019 02:00,31.12.2018 21:00,0
01.01.2019 03:00,31.12.2018 22:00,0
01.01.2019 04:00,31.12.2018 23:00,0
01.01.2019 05:00,01.01.2019 00:00,0
01.01.2019 06:00,01.01.2019 01:00,0.085
01.01.2019 07:00,01.01.2019 02:00,0.349
01.01.2019 08:00,01.01.2019 03:00,0.602
01.01.2019 09:00,01.01.2019 04:00,0.702
01.01.2019 10:00,01.01.2019 05:00,0.741
01.01.2019 11:00,01.01.2019 06:00,0.752
01.01.2019 12:00,01.01.2019 07:00,0.763
01.01.2019 13:00,01.01.2019 08:00,0.755
01.01.2019 14:00,01.01.2019 09:00,0.722
01.01.2019 15:00,01.01.2019 10:00,0.649
01.01.2019 16:00,01.01.2019 11:00,0.459
01.01.2019 17:00,01.01.2019 12:00,0.049
01.01.2019 18:00,01.01.2019 13:00,0
01.01.2019 19:00,01.01.2019 14:00,0
01.01.2019 20:00,01.01.2019 15:00,0
01.01.2019 21:00,01.01.2019 16:00,0
01.01.2019 22:00,01.01.2019 17:00,0
01.01.2019 23:00,01.01.2019 18:00,0
02.01.2019 00:00,01.01.2019 19:00,0
02.01.2019 01:00,01.01.2019 20:00,0
02.01.2019 02:00,01.01.2019 21:00,0
02.01.2019 03:00,01.01.2019 22:00,0
02.01.2019 04:00,01.01.2019 23:00,0
02.01.2019 05:00,02.01.2019 00:00,0
02.01.2019 06:00,02.01.2019 01:00,0.186
02.01.2019 07:00,02.01.2019 02:00,0.568
02.01.2019 08:00,02.01.2019 03:00,0.722
02.01.2019 09:00,02.01.2019 04:00,0.769
02.01.2019 10:00,02.01.2019 05:00,0.785
02.01.2019 11:00,02.01.2019 06:00,0.786
02.01.2019 12:00,02.01.2019 07:00,0.779
02.01.2019 13:00,02.01.2019 08:00,0.765
02.01.2019 14:00,02.01.2019 09:00,0.731
02.01.2019 15:00,02.01.2019 10:00,0.65
02.01.2019 16:00,02.01.2019 11:00,0.446
02.01.2019 17:00,02.01.2019 12:00,0.048
02.01.2019 18:00,02.01.2019 13:00,0
02.01.2019 19:00,02.01.2019 14:00,0
02.01.2019 20:00,02.01.2019 15:00,0
02.01.2019 21:00,02.01.2019 16:00,0
02.01.2019 22:00,02.01.2019 17:00,0
02.01.2019 23:00,02.01.2019 18:00,0
03.01.2019 00:00,02.01.2019 19:00,0
03.01.2019 01:00,02.01.2019 20:00,0
03.01.2019 02:00,02.01.2019 21:00,0
03.01.2019 03:00,02.01.2019 22:00,0
03.01.2019 04:00,02.01.2019 23:00,0
03.01.2019 05:00,03.01.2019 00:00,0
03.01.2019 06:00,03.01.2019 01:00,0.09
03.01.2019 07:00,03.01.2019 02:00,0.38
03.01.2019 08:00,03.01.2019 03:00,0.6
03.01.2019 09:00,03.01.2019 04:00,0.683
03.01.2019 10:00,03.01.2019 05:00,0.729
03.01.2019 11:00,03.01.2019 06:00,0.735
03.01.2019 12:00,03.01.2019 07:00,0.737
03.01.2019 13:00,03.01.2019 08:00,0.707
03.01.2019 14:00,03.01.2019 09:00,0.689
03.01.2019 15:00,03.01.2019 10:00,0.629
03.01.2019 16:00,03.01.2019 11:00,0.443
03.01.2019 17:00,03.01.2019 12:00,0.046
03.01.2019 18:00,03.01.2019 13:00,0
03.01.2019 19:00,03.01.2019 14:00,0
03.01.2019 20:00,03.01.2019 15:00,0
03.01.2019 21:00,03.01.2019 16:00,0
03.01.2019 22:00,03.01.2019 17:00,0
03.01.2019 23:00,03.01.2019 18:00,0
04.01.2019 00:00,03.01.2019 19:00,0
04.01.2019 01:00,03.01.2019 20:00,0
04.01.2019 02:00,03.01.2019 21:00,0
04.01.2019 03:00,03.01.2019 22:00,0
04.01.2019 04:00,03.01.2019 23:00,0
04.01.2019 05:00,04.01.2019 00:00,0
04.01.2019 06:00,04.01.2019 01:00,0.122
04.01.2019 07:00,04.01.2019 02:00,0.447
04.01.2019 08:00,04.01.2019 03:00,0.671
04.01.2019 09:00,04.01.2019 04:00,0.757
04.01.2019 10:00,04.01.2019 05:00,0.774
04.01.2019 11:00,04.01.2019 06:00,0.776
04.01.2019 12:00,04.01.2019 07:00,0.769
04.01.2019 13:00,04.01.2019 08:00,0.754
04.01.2019 14:00,04.01.2019 09:00,0.72
04.01.2019 15:00,04.01.2019 10:00,0.648
04.01.2019 16:00,04.01.2019 11:00,0.467
04.01.2019 17:00,04.01.2019 12:00,0.053
04.01.2019 18:00,04.01.2019 13:00,0
04.01.2019 19:00,04.01.2019 14:00,0
04.01.2019 20:00,04.01.2019 15:00,0
04.01.2019 21:00,04.01.2019 16:00,0
04.01.2019 22:00,04.01.2019 17:00,0
04.01.2019 23:00,04.01.2019 18:00,0
05.01.2019 00:00,04.01.2019 19:00,0
05.01.2019 01:00,04.01.2019 20:00,0
05.01.2019 02:00,04.01.2019 21:00,0
05.01.2019 03:00,04.01.2019 22:00,0
05.01.2019 04:00,04.01.2019 23:00,0
05.01.2019 05:00,05.01.2019 00:00,0
05.01.2019 06:00,05.01.2019 01:00,0.13
05.01.2019 07:00,05.01.2019 02:00,0.482
05.01.2019 08:00,05.01.2019 03:00,0.711
05.01.2019 09:00,05.01.2019 04:00,0.763
05.01.2019 10:00,05.01.2019 05:00,0.78
05.01.2019 11:00,05.01.2019 06:00,0.779
05.01.2019 12:00,05.01.2019 07:00,0.77
05.01.2019 13:00,05.01.2019 08:00,0.752
05.01.2019 14:00,05.01.2019 09:00,0.715
05.01.2019 15:00,05.01.2019 10:00,0.635
05.01.2019 16:00,05.01.2019 11:00,0.441
05.01.2019 17:00,05.01.2019 12:00,0.045
05.01.2019 18:00,05.01.2019 13:00,0
05.01.2019 19:00,05.01.2019 14:00,0
05.01.2019 20:00,05.01.2019 15:00,0
05.01.2019 21:00,05.01.2019 16:00,0
05.01.2019 22:00,05.01.2019 17:00,0
05.01.2019 23:00,05.01.2019 18:00,0
06.01.2019 00:00,05.01.2019 19:00,0
