time,local_time,electricity
01.01.2019 00:00,31.12.2018 19:00,0.501
01.01.2019 01:00,31.12.2018 20:00,0.580
01.01.2019 02:00,31.12.2018 21:00,0.682
01.01.2019 03:00,31.12.2018 22:00,0.708
01.01.2019 04:00,31.12.2018 23:00,0.734
01.01.2019 05:00,01.01.2019 00:00,0.722
01.01.2019 06:00,01.01.2019 01:00,0.810
01.01.2019 07:00,01.01.2019 02:00,0.868
01.01.2019 08:00,01.01.2019 03:00,0.873
01.01.2019 09:00,01.01.2019 04:00,0.869
01.01.2019 10:00,01.01.2019 05:00,0.862
01.01.2019 11:00,01.01.2019 06:00,0.858
01.01.2019 12:00,01.01.2019 07:00,0.859
01.01.2019 13:00,01.01.2019 08:00,0.864
01.01.2019 14:00,01.01.2019 09:00,0.865
01.01.2019 15:00,01.01.2019 10:00,0.849
01.01.2019 16:00,01.01.2019 11:00,0.794
01.01.2019 17:00,01.01.2019 12:00,0.735
01.01.2019 18:00,01.01.2019 13:00,0.685
01.01.2019 19:00,01.01.2019 14:00,0.623
01.01.2019 20:00,01.01.2019 15:00,0.590
01.01.2019 21:00,01.01.2019 16:00,0.589
01.01.2019 22:00,01.01.2019 17:00,0.609
01.01.2019 23:00,01.01.2019 18:00,0.628
02.01.2019 00:00,01.01.2019 19:00,0.634
02.01.2019 01:00,01.01.2019 20:00,0.645
02.01.2019 02:00,01.01.2019 21:00,0.661
02.01.2019 03:00,01.01.2019 22:00,0.675
02.01.2019 04:00,01.01.2019 23:00,0.671
02.01.2019 05:00,02.01.2019 00:00,0.626
02.01.2019 06:00,02.01.2019 01:00,0.674
02.01.2019 07:00,02.01.2019 02:00,0.773
02.01.2019 08:00,02.01.2019 03:00,0.811
02.01.2019 09:00,02.01.2019 04:00,0.823
02.01.2019 10:00,02.01.2019 05:00,0.832
02.01.2019 11:00,02.01.2019 06:00,0.831
02.01.2019 12:00,02.01.2019 07:00,0.834
02.01.2019 13:00,02.01.2019 08:00,0.840
02.01.2019 14:00,02.01.2019 09:00,0.835
02.01.2019 15:00,02.01.2019 10:00,0.814
02.01.2019 16:00,02.01.2019 11:00,0.740
02.01.2019 17:00,02.01.2019 12:00,0.663
02.01.2019 18:00,02.01.2019 13:00,0.593
02.01.2019 19:00,02.01.2019 14:00,0.519
02.01.2019 20:00,02.01.2019 15:00,0.446
02.01.2019 21:00,02.01.2019 16:00,0.416
02.01.2019 22:00,02.01.2019 17:00,0.417
02.01.2019 23:00,02.01.2019 18:00,0.459
03.01.2019 00:00,02.01.2019 19:00,0.523
03.01.2019 01:00,02.01.2019 20:00,0.568
03.01.2019 02:00,02.01.2019 21:00,0.577
03.01.2019 03:00,02.01.2019 22:00,0.538
03.01.2019 04:00,02.01.2019 23:00,0.529
03.01.2019 05:00,03.01.2019 00:00,0.493
03.01.2019 06:00,03.01.2019 01:00,0.585
03.01.2019 07:00,03.01.2019 02:00,0.678
03.01.2019 08:00,03.01.2019 03:00,0.700
03.01.2019 09:00,03.01.2019 04:00,0.705
03.01.2019 10:00,03.01.2019 05:00,0.697
03.01.2019 11:00,03.01.2019 06:00,0.692
03.01.2019 12:00,03.01.2019 07:00,0.687
03.01.2019 13:00,03.01.2019 08:00,0.692
03.01.2019 14:00,03.01.2019 09:00,0.706
03.01.2019 15:00,03.01.2019 10:00,0.722
03.01.2019 16:00,03.01.2019 11:00,0.697
03.01.2019 17:00,03.01.2019 12:00,0.638
03.01.2019 18:00,03.01.2019 13:00,0.526
03.01.2019 19:00,03.01.2019 14:00,0.391
03.01.2019 20:00,03.01.2019 15:00,0.271
03.01.2019 21:00,03.01.2019 16:00,0.207
03.01.2019 22:00,03.01.2019 17:00,0.180
03.01.2019 23:00,03.01.2019 18:00,0.182
04.01.2019 00:00,03.01.2019 19:00,0.190
04.01.2019 01:00,03.01.2019 20:00,0.205
04.01.2019 02:00,03.01.2019 21:00,0.249
04.01.2019 03:00,03.01.2019 22:00,0.306
04.01.2019 04:00,03.01.2019 23:00,0.358
04.01.2019 05:00,04.01.2019 00:00,0.402
04.01.2019 06:00,04.01.2019 01:00,0.538
04.01.2019 07:00,04.01.2019 02:00,0.658
04.01.2019 08:00,04.01.2019 03:00,0.693
04.01.2019 09:00,04.01.2019 04:00,0.695
04.01.2019 10:00,04.01.2019 05:00,0.678
04.01.2019 11:00,04.01.2019 06:00,0.651
04.01.2019 12:00,04.01.2019 07:00,0.636
04.01.2019 13:00,04.01.2019 08:00,0.650
04.01.2019 14:00,04.01.2019 09:00,0.678
04.01.2019 15:00,04.01.2019 10:00,0.706
04.01.2019 16:00,04.01.2019 11:00,0.672
04.01.2019 17:00,04.01.2019 12:00,0.571
04.01.2019 18:00,04.01.2019 13:00,0.463
04.01.2019 19:00,04.01.2019 14:00,0.362
04.01.2019 20:00,04.01.2019 15:00,0.277
04.01.2019 21:00,04.01.2019 16:00,0.234
04.01.2019 22:00,04.01.2019 17:00,0.202
04.01.2019 23:00,04.01.2019 18:00,0.179
05.01.2019 00:00,04.01.2019 19:00,0.142
05.01.2019 01:00,04.01.2019 20:00,0.188
05.01.2019 02:00,04.01.2019 21:00,0.277
05.01.2019 03:00,04.01.2019 22:00,0.305
05.01.2019 04:00,04.01.2019 23:00,0.345
05.01.2019 05:00,05.01.2019 00:00,0.395
05.01.2019 06:00,05.01.2019 01:00,0.540
05.01.2019 07:00,05.01.2019 02:00,0.609
05.01.2019 08:00,05.01.2019 03:00,0.601
05.01.2019 09:00,05.01.2019 04:00,0.579
05.01.2019 10:00,05.01.2019 05:00,0.567
05.01.2019 11:00,05.01.2019 06:00,0.574
05.01.2019 12:00,05.01.2019 07:00,0.586
05.01.2019 13:00,05.01.2019 08:00,0.599
05.01.2019 14:00,05.01.2019 09:00,0.618
05.01.2019 15:00,05.01.2019 10:00,0.634
05.01.2019 16:00,05.01.2019 11:00,0.635
05.01.2019 17:00,05.01.2019 12:00,0.586
05.01.2019 18:00,05.01.2019 13:00,0.500
05.01.2019 19:00,05.01.2019 14:00,0.365
05.01.2019 20:00,05.01.2019 15:00,0.257
05.01.2019 21:00,05.01.2019 16:00,0.244
05.01.2019 22:00,05.01.2019 17:00,0.231
05.01.2019 23:00,05.01.2019 18:00,0.209
06.01.2019 00:00,05.01.2019 19:00,0.175
06.01.2019 01:00,05.01.2019 20:00,0.138
06.01.2019 02:00,05.01.2019 21:00,0.128
06.01.2019 03:00,05.01.2019 22:00,0.106
06.01.2019 04:00,05.01.2019 23:00,0.082
06.01.2019 05:00,06.01.2019 00:00,0.105
06.01.2019 06:00,06.01.2019 01:00,0.233
06.01.2019 07:00,06.01.2019 02:00,0.358
06.01.2019 08:00,06.01.2019 03:00,0.380
06.01.2019 09:00,06.01.2019 04:00,0.353
06.01.2019 10:00,06.01.2019 05:00,0.324
06.01.2019 11:00,06.01.2019 06:00,0.315
06.01.2019 12:00,06.01.2019 07:00,0.325
06.01.2019 13:00,06.01.2019 08:00,0.374
06.01.2019 14:00,06.01.2019 09:00,0.454
06.01.2019 15:00,06.01.2019 10:00,0.512
06.01.2019 16:00,06.01.2019 11:00,0.484
06.01.2019 17:00,06.01.2019 12:00,0.398
06.01.2019 18:00,06.01.2019 13:00,0.294
06.01.2019 19:00,06.01.2019 14:00,0.202
06.01.2019 20:00,06.01.2019 15:00,0.134
06.01.2019 21:00,06.01.2019 16:00,0.096
06.01.2019 22:00,06.01.2019 17:00,0.082
06.01.2019 23:00,06.01.2019 18:00,0.080
07.01.2019 00:00,06.01.2019 19:00,0.095
07.01.2019 01:00,06.01.2019 20:00,0.141
07.01.2019 02:00,06.01.2019 21:00,0.188
07.01.2019 03:00,06.01.2019 22:00,0.203
07.01.2019 04:00,06.01.2019 23:00,0.194
07.01.2019 05:00,07.01.2019 00:00,0.183
07.01.2019 06:00,07.01.2019 01:00,0.245
07.01.2019 07:00,07.01.2019 02:00,0.352
07.01.2019 08:00,07.01.2019 03:00,0.382
07.01.2019 09:00,07.01.2019 04:00,0.362
07.01.2019 10:00,07.01.2019 05:00,0.342
07.01.2019 11:00,07.01.2019 06:00,0.334
07.01.2019 12:00,07.01.2019 07:00,0.330
07.01.2019 13:00,07.01.2019 08:00,0.346
07.01.2019 14:00,07.01.2019 09:00,0.391
07.01.2019 15:00,07.01.2019 10:00,0.447
07.01.2019 16:00,07.01.2019 11:00,0.476
07.01.2019 17:00,07.01.2019 12:00,0.456
07.01.2019 18:00,07.01.2019 13:00,0.374
07.01.2019 19:00,07.01.2019 14:00,0.278
07.01.2019 20:00,07.01.2019 15:00,0.194
07.01.2019 21:00,07.01.2019 16:00,0.142
07.01.2019 22:00,07.01.2019 17:00,0.139
07.01.2019 23:00,07.01.2019 18:00,0.175
08.01.2019 00:00,07.01.2019 19:00,0.249
08.01.2019 01:00,07.01.2019 20:00,0.311
08.01.2019 02:00,07.01.2019 21:00,0.348
08.01.2019 03:00,07.01.2019 22:00,0.332
08.01.2019 04:00,07.01.2019 23:00,0.313
08.01.2019 05:00,08.01.2019 00:00,0.295
08.01.2019 06:00,08.01.2019 01:00,0.398
08.01.2019 07:00,08.01.2019 02:00,0.448
08.01.2019 08:00,08.01.2019 03:00,0.434
08.01.2019 09:00,08.01.2019 04:00,0.420
08.01.2019 10:00,08.01.2019 05:00,0.405
08.01.2019 11:00,08.01.2019 06:00,0.395
08.01.2019 12:00,08.01.2019 07:00,0.398
08.01.2019 13:00,08.01.2019 08:00,0.425
08.01.2019 14:00,08.01.2019 09:00,0.469
08.01.2019 15:00,08.01.2019 10:00,0.509
08.01.2019 16:00,08.01.2019 11:00,0.498
08.01.2019 17:00,08.01.2019 12:00,0.425
08.01.2019 18:00,08.01.2019 13:00,0.302
08.01.2019 19:00,08.01.2019 14:00,0.231
08.01.2019 20:00,08.01.2019 15:00,0.170
08.01.2019 21:00,08.01.2019 16:00,0.134
08.01.2019 22:00,08.01.2019 17:00,0.124
08.01.2019 23:00,08.01.2019 18:00,0.155
09.01.2019 00:00,08.01.2019 19:00,0.155
09.01.2019 01:00,08.01.2019 20:00,0.181
09.01.2019 02:00,08.01.2019 21:00,0.205
09.01.2019 03:00,08.01.2019 22:00,0.204
09.01.2019 04:00,08.01.2019 23:00,0.179
09.01.2019 05:00,09.01.2019 00:00,0.138
09.01.2019 06:00,09.01.2019 01:00,0.160
09.01.2019 07:00,09.01.2019 02:00,0.220
09.01.2019 08:00,09.01.2019 03:00,0.218
09.01.2019 09:00,09.01.2019 04:00,0.209
09.01.2019 10:00,09.01.2019 05:00,0.206
09.01.2019 11:00,09.01.2019 06:00,0.205
09.01.2019 12:00,09.01.2019 07:00,0.214
09.01.2019 13:00,09.01.2019 08:00,0.241
09.01.2019 14:00,09.01.2019 09:00,0.284
09.01.2019 15:00,09.01.2019 10:00,0.328
09.01.2019 16:00,09.01.2019 11:00,0.313
09.01.2019 17:00,09.01.2019 12:00,0.264
09.01.2019 18:00,09.01.2019 13:00,0.187
09.01.2019 19:00,09.01.2019 14:00,0.102
09.01.2019 20:00,09.01.2019 15:00,0.063
09.01.2019 21:00,09.01.2019 16:00,0.055
09.01.2019 22:00,09.01.2019 17:00,0.050
09.01.2019 23:00,09.01.2019 18:00,0.043
10.01.2019 00:00,09.01.2019 19:00,0.041
10.01.2019 01:00,09.01.2019 20:00,0.051
10.01.2019 02:00,09.01.2019 21:00,0.062
10.01.2019 03:00,09.01.2019 22:00,0.062
10.01.2019 04:00,09.01.2019 23:00,0.063
10.01.2019 05:00,10.01.2019 00:00,0.068
10.01.2019 06:00,10.01.2019 01:00,0.082
10.01.2019 07:00,10.01.2019 02:00,0.088
10.01.2019 08:00,10.01.2019 03:00,0.075
10.01.2019 09:00,10.01.2019 04:00,0.066
10.01.2019 10:00,10.01.2019 05:00,0.067
10.01.2019 11:00,10.01.2019 06:00,0.086
10.01.2019 12:00,10.01.2019 07:00,0.127
10.01.2019 13:00,10.01.2019 08:00,0.183
10.01.2019 14:00,10.01.2019 09:00,0.217
10.01.2019 15:00,10.01.2019 10:00,0.227
10.01.2019 16:00,10.01.2019 11:00,0.189
10.01.2019 17:00,10.01.2019 12:00,0.112
10.01.2019 18:00,10.01.2019 13:00,0.071
10.01.2019 19:00,10.01.2019 14:00,0.046
10.01.2019 20:00,10.01.2019 15:00,0.030
10.01.2019 21:00,10.01.2019 16:00,0.021
10.01.2019 22:00,10.01.2019 17:00,0.014
10.01.2019 23:00,10.01.2019 18:00,0.011
11.01.2019 00:00,10.01.2019 19:00,0.010
11.01.2019 01:00,10.01.2019 20:00,0.011
11.01.2019 02:00,10.01.2019 21:00,0.014
11.01.2019 03:00,10.01.2019 22:00,0.019
11.01.2019 04:00,10.01.2019 23:00,0.024
11.01.2019 05:00,11.01.2019 00:00,0.025
11.01.2019 06:00,11.01.2019 01:00,0.037
11.01.2019 07:00,11.01.2019 02:00,0.077
11.01.2019 08:00,11.01.2019 03:00,0.087
11.01.2019 09:00,11.01.2019 04:00,0.084
11.01.2019 10:00,11.01.2019 05:00,0.080
11.01.2019 11:00,11.01.2019 06:00,0.088
11.01.2019 12:00,11.01.2019 07:00,0.118
11.01.2019 13:00,11.01.2019 08:00,0.176
11.01.2019 14:00,11.01.2019 09:00,0.231
11.01.2019 15:00,11.01.2019 10:00,0.289
11.01.2019 16:00,11.01.2019 11:00,0.310
11.01.2019 17:00,11.01.2019 12:00,0.296
11.01.2019 18:00,11.01.2019 13:00,0.217
11.01.2019 19:00,11.01.2019 14:00,0.170
11.01.2019 20:00,11.01.2019 15:00,0.133
11.01.2019 21:00,11.01.2019 16:00,0.106
11.01.2019 22:00,11.01.2019 17:00,0.089
11.01.2019 23:00,11.01.2019 18:00,0.110
12.01.2019 00:00,11.01.2019 19:00,0.154
12.01.2019 01:00,11.01.2019 20:00,0.162
12.01.2019 02:00,11.01.2019 21:00,0.167
12.01.2019 03:00,11.01.2019 22:00,0.175
12.01.2019 04:00,11.01.2019 23:00,0.180
12.01.2019 05:00,12.01.2019 00:00,0.172
12.01.2019 06:00,12.01.2019 01:00,0.206
12.01.2019 07:00,12.01.2019 02:00,0.309
12.01.2019 08:00,12.01.2019 03:00,0.332
12.01.2019 09:00,12.01.2019 04:00,0.328
12.01.2019 10:00,12.01.2019 05:00,0.317
12.01.2019 11:00,12.01.2019 06:00,0.309
12.01.2019 12:00,12.01.2019 07:00,0.305
12.01.2019 13:00,12.01.2019 08:00,0.315
12.01.2019 14:00,12.01.2019 09:00,0.344
12.01.2019 15:00,12.01.2019 10:00,0.367
12.01.2019 16:00,12.01.2019 11:00,0.378
12.01.2019 17:00,12.01.2019 12:00,0.386
12.01.2019 18:00,12.01.2019 13:00,0.328
12.01.2019 19:00,12.01.2019 14:00,0.252
12.01.2019 20:00,12.01.2019 15:00,0.222
12.01.2019 21:00,12.01.2019 16:00,0.199
12.01.2019 22:00,12.01.2019 17:00,0.161
12.01.2019 23:00,12.01.2019 18:00,0.165
13.01.2019 00:00,12.01.2019 19:00,0.192
13.01.2019 01:00,12.01.2019 20:00,0.245
13.01.2019 02:00,12.01.2019 21:00,0.257
13.01.2019 03:00,12.01.2019 22:00,0.241
13.01.2019 04:00,12.01.2019 23:00,0.264
13.01.2019 05:00,13.01.2019 00:00,0.215
13.01.2019 06:00,13.01.2019 01:00,0.238
13.01.2019 07:00,13.01.2019 02:00,0.338
13.01.2019 08:00,13.01.2019 03:00,0.346
13.01.2019 09:00,13.01.2019 04:00,0.328
13.01.2019 10:00,13.01.2019 05:00,0.332
13.01.2019 11:00,13.01.2019 06:00,0.358
13.01.2019 12:00,13.01.2019 07:00,0.391
13.01.2019 13:00,13.01.2019 08:00,0.430
13.01.2019 14:00,13.01.2019 09:00,0.464
13.01.2019 15:00,13.01.2019 10:00,0.491
13.01.2019 16:00,13.01.2019 11:00,0.471
13.01.2019 17:00,13.01.2019 12:00,0.407
13.01.2019 18:00,13.01.2019 13:00,0.291
13.01.2019 19:00,13.01.2019 14:00,0.219
13.01.2019 20:00,13.01.2019 15:00,0.178
13.01.2019 21:00,13.01.2019 16:00,0.155
13.01.2019 22:00,13.01.2019 17:00,0.155
13.01.2019 23:00,13.01.2019 18:00,0.159
14.01.2019 00:00,13.01.2019 19:00,0.189
14.01.2019 01:00,13.01.2019 20:00,0.227
14.01.2019 02:00,13.01.2019 21:00,0.264
14.01.2019 03:00,13.01.2019 22:00,0.277
14.01.2019 04:00,13.01.2019 23:00,0.277
14.01.2019 05:00,14.01.2019 00:00,0.264
14.01.2019 06:00,14.01.2019 01:00,0.304
14.01.2019 07:00,14.01.2019 02:00,0.388
14.01.2019 08:00,14.01.2019 03:00,0.376
14.01.2019 09:00,14.01.2019 04:00,0.358
14.01.2019 10:00,14.01.2019 05:00,0.356
14.01.2019 11:00,14.01.2019 06:00,0.367
14.01.2019 12:00,14.01.2019 07:00,0.391
14.01.2019 13:00,14.01.2019 08:00,0.429
14.01.2019 14:00,14.01.2019 09:00,0.487
14.01.2019 15:00,14.01.2019 10:00,0.550
14.01.2019 16:00,14.01.2019 11:00,0.544
14.01.2019 17:00,14.01.2019 12:00,0.430
14.01.2019 18:00,14.01.2019 13:00,0.343
14.01.2019 19:00,14.01.2019 14:00,0.274
14.01.2019 20:00,14.01.2019 15:00,0.223
14.01.2019 21:00,14.01.2019 16:00,0.220
14.01.2019 22:00,14.01.2019 17:00,0.238
14.01.2019 23:00,14.01.2019 18:00,0.318
15.01.2019 00:00,14.01.2019 19:00,0.337
15.01.2019 01:00,14.01.2019 20:00,0.355
15.01.2019 02:00,14.01.2019 21:00,0.344
15.01.2019 03:00,14.01.2019 22:00,0.323
15.01.2019 04:00,14.01.2019 23:00,0.271
15.01.2019 05:00,15.01.2019 00:00,0.228
15.01.2019 06:00,15.01.2019 01:00,0.278
15.01.2019 07:00,15.01.2019 02:00,0.323
15.01.2019 08:00,15.01.2019 03:00,0.320
15.01.2019 09:00,15.01.2019 04:00,0.359
15.01.2019 10:00,15.01.2019 05:00,0.414
15.01.2019 11:00,15.01.2019 06:00,0.466
